frame,id,x,y,w,h
223,21,1020,372,55,55
224,1,601,183,62,62
224,2,781,166,62,62
224,3,1048,197,50,50
224,15,114,108,51,51
224,20,1023,346,64,64
224,21,1023,368,65,65
225,1,601,183,62,62
225,2,779,166,64,64
225,3,1050,195,50,50
225,15,114,108,51,51
225,20,1023,345,63,63
225,21,1023,368,65,65
226,1,601,183,62,62
226,2,779,165,64,64
226,3,1051,195,50,50
226,15,114,108,51,51
226,20,1025,344,65,65
226,21,1023,368,65,65
227,1,601,183,62,62
227,2,778,164,67,67
227,3,1051,194,50,50
227,15,114,108,51,51
227,20,1026,342,65,65
227,21,1023,368,65,65
228,1,601,183,62,62
228,2,779,166,62,62
228,3,1052,193,50,50
228,20,1028,341,64,64
228,21,1023,368,65,65
229,1,601,183,62,62
229,2,779,167,62,62
229,3,1052,193,50,50
229,20,1028,340,65,65
229,21,1023,368,65,65
230,1,601,183,62,62
230,2,779,167,62,62
230,3,1053,193,50,50
230,20,1029,341,64,64
230,21,1030,365,60,60
231,1,601,183,62,62
231,2,779,167,62,62
231,3,1054,195,50,50
231,20,1031,342,62,62
231,21,1030,365,60,60
232,2,779,167,62,62
232,3,1055,195,50,50
232,20,1034,345,60,60
232,21,1030,365,60,60
233,2,779,167,62,62
233,3,1055,197,50,50
233,20,1034,345,61,61
233,21,1030,365,60,60
233,22,621,186,60,60
234,2,779,167,62,62
234,3,1055,197,50,50
234,20,1037,349,59,59
234,21,1030,365,60,60
234,22,616,181,71,71
235,2,779,167,62,62
235,3,1055,199,50,50
235,20,1035,350,62,62
235,21,1030,365,60,60
235,22,622,182,65,65
236,2,779,167,62,62
236,3,1056,200,50,50
236,20,1036,354,62,62
236,21,1030,365,60,60
236,22,621,179,67,67
237,2,779,167,62,62
237,3,1055,201,50,50
237,20,1035,353,66,66
237,21,1030,365,60,60
237,22,621,179,67,67
238,2,779,167,62,62
238,3,1056,203,50,50
238,20,1037,354,65,65
238,21,1030,365,60,60
238,22,621,179,67,67
238,23,889,266,56,56
239,2,779,167,62,62
239,3,1056,204,50,50
239,20,1037,354,65,65
239,21,1030,365,60,60
239,22,621,179,67,67
239,23,889,266,56,56
240,3,1057,204,50,50
240,20,1037,354,65,65
240,21,1030,365,60,60
240,22,623,177,66,66
240,23,889,266,56,56
241,3,1057,204,50,50
241,20,1037,354,65,65
241,22,625,179,62,62
241,23,889,266,56,56
241,24,131,108,52,52
242,3,1057,204,50,50
242,20,1037,354,65,65
242,22,625,178,63,63
242,23,889,266,56,56
242,24,131,108,52,52
243,3,1057,204,50,50
243,20,1037,354,65,65
243,22,625,178,64,64
243,23,889,266,56,56
243,24,131,108,52,52
244,3,1057,202,50,50
244,20,1037,354,65,65
244,22,625,178,64,64
244,23,894,267,51,51
244,24,131,108,52,52
245,3,1057,202,50,50
245,20,1037,354,65,65
245,22,623,175,73,73
245,23,894,267,51,51
245,24,131,108,52,52
246,3,1057,202,50,50
246,20,1041,377,55,55
246,22,622,176,73,73
246,23,893,264,56,56
246,24,131,108,52,52
246,25,954,503,108,108
247,3,1057,202,50,50
247,20,1041,376,55,55
247,22,631,183,59,59
247,23,893,264,56,56
247,24,131,108,52,52
247,25,954,503,108,108
248,3,1057,202,50,50
248,20,1041,376,55,55
248,22,626,182,65,65
248,23,892,264,51,51
248,24,131,108,52,52
248,25,954,503,108,108
249,3,1057,202,50,50
249,20,1041,376,55,55
249,22,626,182,65,65
249,23,892,264,51,51
249,24,131,108,52,52
249,25,954,503,108,108
250,3,1065,196,50,50
250,20,1041,376,55,55
250,22,626,182,65,65
250,23,887,260,53,53
250,24,131,108,52,52
250,25,954,503,108,108
251,3,1065,196,50,50
251,20,1041,376,55,55
251,22,626,182,65,65
251,23,886,259,52,52
251,24,131,108,52,52
251,25,954,503,108,108
252,3,1065,196,50,50
252,20,1041,376,55,55
252,22,626,182,65,65
252,23,886,259,52,52
252,25,954,503,108,108
253,3,1065,196,50,50
253,20,1041,376,55,55
253,22,621,187,70,70
253,23,886,259,52,52
253,25,954,503,108,108
254,3,1070,196,50,50
254,20,1041,376,55,55
254,22,623,190,64,64
254,23,886,259,52,52
254,25,954,503,108,108
255,3,1075,196,50,50
255,20,1041,376,55,55
255,22,623,190,64,64
255,23,886,259,52,52
255,25,954,503,108,108
256,3,1075,196,50,50
256,20,1041,376,55,55
256,22,623,190,64,64
256,23,884,255,51,51
256,25,954,503,108,108
257,3,1075,196,50,50
257,20,1041,376,55,55
257,22,623,190,64,64
257,23,884,255,51,51
258,3,1079,199,50,50
258,22,623,190,64,64
258,23,881,255,51,51
259,3,1082,201,50,50
259,22,615,184,69,69
259,23,881,255,51,51
260,3,1086,202,50,50
260,22,615,184,69,69
260,23,881,255,51,51
260,26,147,109,52,52
261,3,1088,204,50,50
261,22,614,180,69,69
261,23,877,256,53,53
261,26,147,109,52,52
261,27,1070,338,66,66
262,3,1092,205,50,50
262,22,614,180,69,69
262,23,877,259,51,51
262,26,149,109,52,52
262,27,1070,338,66,66
263,3,1093,206,50,50
263,22,613,178,68,68
263,23,877,259,51,51
263,26,151,110,50,50
263,27,1070,338,66,66
264,3,1095,205,50,50
